,Laptop Brand,Price,Series,Model,Utility,Device Type,OS,Dimensions,Weight,Warranty,Type,Touch,Size,Resolution,PPI,Anti Glare Screen,Features,Ethernet,WiFi,Bluetooth,USB Ports,HDMI,Card Reader,Microphone In,Headphone Jack,Camera,Keyboard,Keyboard Backlit,Touchpad,Inbuilt Microphone,Speakers,Sound,Optical Drive,Processor,Speed,Cache,Brand,Generation,GPU,Dedicated Memory,RAM,RAM Bus Speed,Maximum RAM Supported,Solid State Drive,SSD Interface,Battery,Included Software,Sales Package,Other Features,Thunderbolt,Fingerprint Sensor,Security Lock Port,RAM Slots,Chipset,Hard Disk Capacity,Battery Backup,Aspect Ratio,Adapter Type,Hard Disk Speed,Country of Origin,Refresh Rate,USB Port Details,Battery Details,Other Ports,Optane Memory,Max SSD Supported,Display Port,Micro SD Card Reader,Hard Disk Interface,Rear Camera,GPU Clock Speed,VGA
0,HP,"₹49,990",Ryzen 5 ,5600H,Gaming,Netbook,Windows 10 Home (64-bit),360 x 257 x 23.5 mm,1.98 kg,1 year Onsite Warranty,IPS ,No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,"Full HD WLED-Backlit IPS Micro-edge Display (Brightness: 250 nits, 141 PPI, Color Gamut: 45% NTSC)",10/100/1000 GbE LAN,RTL8822CE 802.11a/b/g/n/ac (2x2),v5,"1 x USB Type-C, 1 x USB 2.0",1 x HDMI 2.0 Port,"3-in-1 Card Reader (SD, SDHC, SDxC)",Yes,Yes,Yes,"Full-size, Ultra Violet Backlit, Shadow Black Keyboard with Numeric Keypad, Yes",Yes,HP Imagepad with Multi-Touch Gesture Support,Integrated Dual Array Digital Microphone,Built-in Dual Speakers,"Audio by Bang & Olufsen, Dual Speakers",No,AMD Ryzen 5 ,"3.3 GHz, Hexa Core Turbo Boost Upto 4.2 GHz",16 MB,NVIDIA,5th Gen,NVIDIA GeForce GTX 1650,GDDR6 4 GB,8 GB DDR4,3200 MHz,Upto 16 GB,512 GB,NVMe,3 Cell Battery,"HP Documentation, HP e-service, HP BIOS Recovery, HP SSRM, HP Smart, HP Jumpstarts","Laptop, Power Adaptor, User Guide, Warranty Documents",52.5Wh Li-ion Polymer Battery,,,,,,,,,,,,,,,,,,,,,,,
1,Acer,"₹54,990",Core i5,1240P,"Everyday Use, Gaming, Business, Performance",Netbook,Windows 11 Home (64-bit),362.3 x 237.4 x 19.9 mm,2.1 kg,1 year Warranty,"Full HD, IPS",No,15.6 inches,1920 x 1080 pixels,~ 141,No,,Yes,802.11a/b/g/n+ax wireless LAN,v5.2,"1 x USB Type-C, 3 x USB 3.0",1 x HDMI Port,,Yes,,Yes,"99- 100- 103-key Acer with international language support, with indicators of CapsLock and F4/Microphone mute, Yes",Yes,Touchpad with Multi-touch Gesture Support,Built-in Digital Microphone,Built In Dual Stereo Speakers,,No,Intel Core i5,"3.3 GHz, 12 Core",12,NVIDIA,12th Gen,NVIDIA GeForce GTX 1650,GDDR6 4 GB,8 GB DDR4,,,512 GB,,3 Cell Battery,,"Laptop, Power Adaptor, User Guide, Warranty Documents","50 Wh, Li-ion battery pack",Yes,Yes,Kensington Lock Slot,2,,,,,,,,,,,,,,,,,,,
2,Acer,"₹59,990",Core i5,1240P,"Everyday Use, Gaming, Business, Performance",Netbook,Windows 11 Home (64-bit),362.3 x 237.4 x 19.9 mm,2.1 kg,1 year Warranty,"Full HD, IPS",No,15.6 inches,1920 x 1080 pixels,~ 141,No,,Yes,802.11a/b/g/n+ax wireless LAN,v5.2,"1 x USB Type-C, 3 x USB 3.0",1 x HDMI Port,,Yes,,Yes,"99- 100- 103-key Acer with international language support, with indicators of CapsLock and F4/Microphone mute, Yes",Yes,Touchpad with Multi-touch Gesture Support,Built-in Digital Microphone,Built In Dual Stereo Speakers,,No,Intel Core i5,"3.3 GHz, 12 Core Turbo Boost Upto 4.4 GHz",12 MB,NVIDIA,12th Gen,NVIDIA GeForce RTX 3050,GDDR6 4 GB,8 GB DDR4,,,512 GB,,3 Cell Battery,,"Laptop, Power Adaptor, User Guide, Warranty Documents","50 Wh, Li-ion battery pack",Yes,Yes,Kensington Lock Slot,2,,,,,,,,,,,,,,,,,,,
3,Lenovo,"₹56,500",Core i5,11320H,Gaming,Netbook,Windows 11 Home (64-bit),359.6 x 251.9 x 24.2 mm,2.25 kg,1 year Warranty,"Full HD, IPS, 250nits ",No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,"Refresh Rate: 120 Hz, 45% NTSC, DC dimmer",100/1000M,Wi-Fi 6 (802.11ax) 2 x 2,v5,"1 x USB Type-C, 2 x USB 3.0",1 x HDMI 2.0 Port,,Yes,,Yes,"White Backlit, English, Yes",Yes,Yes,Built-in Dual Array Microphone,Built-in Dual Stereo speakers,Nahimic Audio,No,Intel Core i5,"2.5 GHz, Quad Core Turbo Boost Upto 3.2 GHz",8 MB,NVIDIA,11th Gen,NVIDIA GeForce RTX 3050,GDDR6 4 GB,8 GB DDR4,3200 MHz,,256 GB,,,,"Laptop, Power Adaptor, Quick Start Guide, Warranty Document",,,,,2,Intel SoC Platform,1 TB,Upto 8 hours,,,,,,,,,,,,,,,,
4,Asus,"₹54,990",Ryzen 5,5600H,Gaming,Netbook,Windows 11 Home (64-bit),358 x 248 x 20 mm,1.8 kg,1 year Onsite Warranty,IPS,No,16 inches,1200 x 1920 pixels,~ 283,Yes,300nit Brightness,No,Wi-Fi 6(802.11ax),v5,"1 x USB Type-C, 2 x USB 3.0, 1 x USB 2.0",1 x HDMI 1.4 Port,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Built-in Speaker,harman/kardon (Mainstream),No,AMD Ryzen 5,"3.3 GHz, Hexa Core Turbo Boost Upto 4.2 GHz",16 MB,AMD,5th Gen,AMD Radeon Vega 7,,16 GB DDR4,,,512 GB,,,,"Laptop, Battery, Power Adaptor, User Guide, Warranty Documents",,,Yes,,,,,,16:10,,,,,,,,,,,,,,,
5,HP,"₹78,990",Core i5,12450H,Gaming,Netbook,Windows 11 Home (64-bit),,,1 year Warranty,IPS,No,15.6 inches,1920 x 1080 pixels,~ 137,Yes,,"Integrated 10/100/1000 GbE LAN
",Yes,v5,"1 x USB Type-C, 1 x USB 3.0",1 x HDMI 1.4 Port,"multi-format SD Media Card reader
",Yes,Yes,Yes,"Full-size, Ceramic White Keyboard With Numeric Keypad",Yes,"Precision Touchpad Support
","Dual Array Digital Microphones
",Dual speakers,HP Audio Boost,No,Intel Core i5,"3.3 GHz, Octa Core Turbo Boost Upto 4.4 GHz",12 MB,NVIDIA,12th Gen,NVIDIA GeForce RTX 3050,4 GB,16 GB DDR4,3200 MHz,,512 GB,,4 Cell Battery,,,,,,,2,,,,16:09,Smart AC power adapter,,,,,,,,,,,,,,
6,Lenovo,"₹51,990",Core i5,11320H,Gaming,Netbook,Windows 11 Home (64-bit),359.6 x 251.9 x 24.2 mm,2.25 kg,Onsite Warranty + 1 Year Premium Care + 1 Year Accidentaly Damage Protection,Full HD IPS,No,15.6 inches,1920 x 1080 pixels,~ 141,Yes," 250nits , 60Hz, 45% NTSC, DC dimmer",100/1000M,"Wi-Fi 6 11ax, 2x2",v5,"1 x USB Type-C, 2 x USB 3.0, 1 x USB 2.0",1 x HDMI 2.0 Port,,Yes,,Yes,"White Backlit, English, Yes",Yes,Yes,Built-in Dual Array Microphones,speakers Two built-in stereo speakers,"High Definition (HD) Audio, Realtek ALC3287 codec",No,Intel Core i5,"2.5 GHz, Quad Core Turbo Boost Upto 3.2 GHz",8 MB,NVIDIA,11th Gen,NVIDIA GeForce GTX 1650,GDDR6 4 GB,8 GB DDR4,3200 MHz,,512 GB,,,,"Laptop, Battery, Adapter, Cables and User Manuals",45 Wh Li-ion Battery,,,,,,,Upto 8 hours,,,,,,,,,,,,,,,,
7,MSI,"₹59,990",Core i7,11800H,"Gaming, Performance",Netbook,Windows 10 Home (64-bit),359 x 254 x 21.7 mm,1.86 kg,2 years Warranty,"IPS-Level Display (with 144 Hz Refresh Rate, 100% sRGB)",No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,,,6,v5.2,"1 x USB Type-C, 3 x USB 3.0",1 x HDMI Port,3-in-1 Card Reader,Yes,,Yes,"Red , Yes",Yes,Yes,Built-in Microphone,Built-in Dual Speakers,,No,Intel Core i7,"2.3 GHz, Octa Core Turbo Boost Upto 4.6 GHz",24 MB,NVIDIA,11th Gen,NVIDIA GTX1650 Max-Q,GDDR6 4 GB,8 GB DDR4,3200 MHz,,512 GB,,3 cell Cell Battery,"Cooler Boost, Audio Boost, Dragon Center, Nahimic 3","Laptop, Battery, Power Adapter, User Guide",Li-ion Battery,,,,,Intel,,,,,,,,,,,,,,,,,,
8,HP,"₹65,990",Core i5,12450H,Gaming,Netbook,Windows 11 Home (64-bit),,,1 year Warranty,IPS,No,15.6 inches,1920 x 1080 pixels,~ 137,Yes,144Hz,"Integrated 10/100/1000 GbE LAN
",Yes,v5,"1 x USB Type-C, 2 x USB 3.0",1 x HDMI 1.4 Port,"multi-format SD Media Card reader
",Yes,Yes,Yes,"Full-size, Ceramic White Keyboard With Numeric Keypad",Yes,"Precision Touchpad Support
","Dual Array Digital Microphones
",Dual speakers,HP Audio Boost,No,Intel Core i5,"3.3 GHz, Octa Core Turbo Boost Upto 4.4 GHz",12 MB,NVIDIA,12th Gen,NVIDIA GeForce GTX 1650,4 GB,8 GB DDR4,3200 MHz,,512 GB,,4 Cell Battery,,,,,,,2,,,,16:09,Smart AC power adapter,,,,,,,,,,,,,,
9,Lenovo,"₹55,817",Ryzen 5 ,5600H,"Gaming, Performance",Netbook,Windows 11 Home (64-bit),359 x 249.6 x 24.9 mm,2.25 kg,1 year Onsite Warranty,LED ,No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,"120Hz Refresh Rate, Full HD LED Backlit, IPS Display (250 nits Brightness,, 3-Sided Narrow Bezel)",100/1000 MBPS,11ac (2x2),v5,"1 x USB Type-C, 2 x USB 3.0",1 x HDMI v2.0 Port,,Yes,Yes,Yes,Yes,Yes,Trackpad with Windows Precision Driver,Built-In Dual Array Microphone,Built-In Dual Stereo Speakers,Stereo Speakers with Dolby Audio,No,AMD Ryzen 5 ,"3.3 GHz, Hexa Core Turbo Boost Upto 4.2 GHz",16 MB,NVIDIA,5th Gen,NVIDIA GeForce GTX 1650,GDDR6 4 GB,8 GB DDR4,3200 MHz,,512 GB,,,,"Laptop, Power Adaptor, User Guide, Warranty Documents",45 Wh Battery,,,,2,,,Upto 5 hours,,Slim Tip (3-pin),,,,,,,,,,,,,,
10,Dell,"₹67,716",Core i5,11260H,Gaming,Netbook,Windows 11 Home (64-bit),357 x 272 x 24.9 mm,2.65 kg,1 year Warranty,LED,No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,Full HD 120Hz 250 nits WVA LED Backlit Narrow Border Display,,Intel Wi-Fi 6 AX201 (2x2),v5,"3 x USB Type-C, 4 x USB 3.0, 2 x USB 2.0",1 x HDMI 2.0 Port,1x SD-card slot,Yes,Yes,Yes,"English International Orange, Yes",Yes,Yes,Yes,Yes,Nahimic 3D Audio,No,Intel Core i5,"2.6 GHz, Octa Core",12,NVIDIA,11th Gen,NVIDIA GeForce RTX 3050,GDDR6 4 GB,16 GB DDR4,,,512 GB,,3 Cell Battery,Office Home and Student 2021,"Laptop, battery, adapter, cables and user manuals",,,,,2,,,Upto 10 hours,,,,,,,,,,,,,,,,
11,Lenovo,"₹57,099",Core i5,11300H,Gaming,Netbook,Windows 11 Home (64-bit),360 x 252 x 24 mm,2.25 kg,1 year Warranty,IPS ,No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,"120 Hz Refresh Rate, 250nits Anti-glare, 45% NTSC, DC dimmer",Integrated 100/1000 Gigabit Ethernet LAN,IEEE 802.11a/b/g/n/ac/ax,v5,"1 x USB Type-C, 2 x USB 3.0",1 x HDMI 2.0 Port,,Yes,Yes,Yes,White Backlit English Keyboard,Yes,Yes,2x Array Microphones,Dual Speakers,"High Definition (HD) Audio, Realtek ALC3287 Codec, Nahimic Audio",No,Intel Core i5,"3.1 GHz, Quad Core Turbo Boost Upto 4.4 GHz",8 MB,NVIDIA ,11th Gen,NVIDIA GeForce GTX 1650 ,GDDR6 4 GB,8 GB DDR4,3200 MHz,Upto 16 GB,512 GB,,,,,,,,,2,,,,16:09,170W Power Adapter,,,,,,,,,,,,,,
12,Lenovo,"₹52,000",Core i5,11300H,Gaming,Netbook,Windows 11 Home (64-bit),360 x 252 x 24 mm,2.25 kg,1 year Warranty,IPS ,No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,"120 Hz Refresh Rate, 250nits Anti-glare, 45% NTSC, DC dimmer",Integrated 100/1000 Gigabit Ethernet LAN,IEEE 802.11a/b/g/n/ac/ax,v5,"1 x USB Type-C, 2 x USB 3.0",1 x HDMI 2.0 Port,,Yes,Yes,Yes,English Keyboard,Yes,Yes,2x Array Microphones,Dual Speakers,,No,Intel Core i5,"3.1 GHz, Quad Core Turbo Boost Upto 4.4 GHz",8 MB,NVIDIA ,11th Gen,NVIDIA GeForce GTX 1650 ,GDDR6 4 GB,8 GB DDR4,3200 MHz,Upto 16 GB,512 GB,,,,,,,,,2,,,,16:09,,,,,,,,,,,,,,,
13,Acer,"₹59,990",Core i5,11400H,Gaming,Netbook,Windows 11 Home (64-bit),363 x 255 x 23.9 mm,2.2 kg,1 year Warranty,IPS ,No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,"144 Hz Refresh Rate, Acer ComfyView LED-backlit TFT LCD Narrow Bezels Display, Smooth, Blur-free Gameplay, 80 Percent Screen-to-Body Ratio",,IEEE 802.11a/b/g/n/ac/ax,v5.1,"1 x USB Type-C, 3 x USB 3.0",1 x HDMI Port,,Yes,Yes,Yes,RGB-Backlit Keyboard,Yes,Multi-Gesture Touchpad,Yes,Stereo Speakers,,No,Intel Core i5,"2.2 GHz, Hexa Core Turbo Boost Upto 4.5 GHz",12 MB,NVIDIA ,11th Gen,NVIDIA GeForce GTX 1650,GDDR6 4 GB,16 GB DDR4,3200 MHz,,512 GB,,,,,"Supporting Two-Finger Scroll, Pinch, Gestures to Open Cortana, Action Center, Multitasking, Application Commands
",,,,2,,,,16:09,,,,,,,,,,,,,,,
14,Acer,"₹60,990",Core i5,1240P,Gaming,Netbook,Windows 11 Home (64-bit),362.9 x 237.8 x 17.9 mm,1.8 kg,1 year Warranty,IPS,No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,,,Intel Wireless Wi-Fi 6E AX211,v5.2,"2 x USB Type-C, 2 x USB 3.0",1 x HDMI Port,,Yes,,Yes,"99- 100- 103-key Acer , Yes",Yes,Yes,Built-in Dual Microphone,Two Built-in Stereo Speakers,,No,Intel Core i5,12 Core Turbo Boost Upto 4.4 GHz,12 MB,NVIDIA,12th Gen,NVIDIA GeForce RTX 2050,GDDR6 4 GB,16 GB DDR4,3200 MHz,,512 GB,,3 Cell Battery,,"Laptop, Power Adaptor, User Guide, Warranty Documents",,Yes,,Kensington Lock Slot,2,,,,,,,,,,,,,,,,,,,
15,HP,"₹70,521",Core i5,12450H,Gaming,Netbook,Windows 11 Home (64-bit),,,1 year Warranty,IPS,No,15.6 inches,1920 x 1080 pixels,~ 137,Yes,,"Integrated 10/100/1000 GbE LAN
",Yes,v5,"1 x USB Type-C, 1 x USB 3.0",1 x HDMI 1.4 Port,"multi-format SD Media Card reader
",Yes,Yes,Yes,"Full-size, Ceramic White Keyboard With Numeric Keypad",Yes,"Precision Touchpad Support
","Dual Array Digital Microphones
",Dual speakers,HP Audio Boost,No,Intel Core i5,"3.3 GHz, Octa Core Turbo Boost Upto 4.4 GHz",12 MB,NVIDIA,12th Gen,NVIDIA GeForce GTX 1650,4 GB,8 GB DDR4,3200 MHz,,512 GB,,4 Cell Battery,,,,,,,2,,,,16:09,Smart AC power adapter,,,,,,,,,,,,,,
16,Asus,"₹52,990",Ryzen 5 ,4600H,Gaming,Netbook,Windows 11 Home (64-bit),399 x 268 x 24.8 mm,2.6 kg,1 year Onsite Warranty,"FHD, Value IPS-level, display",No,17.3 inches,1920 x 1080 pixels,~ 127,Yes,"Brightness 250nits, NTSC 45% SRGB 62.5% ",10/100/1000 Mbps,Wi-Fi 6(802.11ax) Dual band) 2x2,v5.1,"1 x USB Type-C, 3 x USB 3.0",1 x HDMI 2.0b Port,,Yes,,Yes,"Backlit Chiclet Keyboard 1-Zone RGB, Yes",Yes,Yes,Built-in array microphone,Dual Speakers,,No,AMD Ryzen 5 ,"3 GHz, Hexa Core Turbo Boost Upto 4 GHz",8 MB,NVIDIA,4th Gen,NVIDIA GeForce GTX 1650,GDDR6 4 GB,8 GB DDR4,3200 MHz,,512 GB,,4 Cell Battery,,"Laptop, Battery, Power Adaptor, User Guide, Warranty Documents","90WHrs, 4S1P, Li-ion Battery",,,,2,,,,,,,,,,,,,,,,,,,
17,MSI,"₹49,990",Core i5,11400H,"Gaming, Performance",Netbook,Windows 10 Home (64-bit),359 x 254 x 21.7 mm,1.86 kg,2 years Warranty,"IPS-Level Display (with 144Hz Refresh Rate, 100% sRGB)",No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,,,6,v5.2,"1 x USB Type-C, 3 x USB 3.0",1 x HDMI Port,3-in-1 Card Reader,Yes,,Yes,"Red , Yes",Yes,Yes,Built-in Microphone,Built-in Dual Speakers,,No,Intel Core i5,"2.2 GHz, Hexa Core Turbo Boost Upto 4.5 GHz",12 MB,NVIDIA,11th Gen,NVIDIA Geforce GTX1650 Max Q,GDDR6 4 GB,8 GB DDR4,3200 MHz,,512 GB,,3 cell Cell Battery,"Cooler Boost, Audio Boost, Dragon Center, Nahimic 3","Laptop, Battery, Power Adapter, User Guide",Li-ion Battery,,,,,Intel,,,,,,,,,,,,,,,,,,
18,HP,"₹67,499",Core i5,11300H,"Gaming, Performance",Netbook,Windows 10 Home (64-bit),360 x 256 x 23.4 mm,2.28 kg,1 year Onsite Warranty,IPS ,No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,"Full HD IPS Micro-Edge Display (250 nits Brightness, 45% NTSC Color Gamut)",Integrated 10/100/1000 GbE LAN,Realtek Wi-Fi 6 (1x2),v5.2,"1 x USB Type-C, 1 x USB 3.0, 2 x USB 2.0",1 x HDMI 2.0 Port,1 x Multi-format SD Media Card Reader ( SD/SDHC/SDxC),Yes,Yes,Yes,"Full-Size Island-Style Ultra Violet with Numeric Keypad, Yes",Yes,"HP Imagepad with Multi-touch Gesture Support, Precision Touchpad Support",Integrated Dual Array Digital Microphone,Dual Speakers,Audio by Bang & Olufsen,No,Intel Core i5,"4.4 GHz, Quad Core Turbo Boost Upto 4.4 GHz",8 MB,NVIDIA,11th Gen,NVIDIA GeForce GTX 1650,GDDR6 4 GB,8 GB DDR4,3200 MHz,Upto 16 GB,256 GB,,3 Cell Battery,"Microsoft Office Home & Student 2019, HP Documentation, HP e-service, HP BIOS recovery, HP SSRM, HP Smart, HP Jumpstarts","Laptop, Power Adaptor, User Guide, Warranty Documents","52.5 WHr Li-ion Battery, Dropbox, HP Audio Switch, HP Audio Boost, HP Support Assistant, Energy Star Certified, EPEAT Silver Registered, MU-MIMO supported, Miracast Compatible, High Performance, Cooling, Micro-edge Bezel",,,,,,1 TB,,,,7200 RPM,,,,,,,,,,,,,
19,Asus,"₹89,990",Ryzen 7 ,5800H,Gaming,Netbook,Windows 11 Home (64-bit),359 x 256 x 24.5 mm,2.3 kg,1 year Onsite Warranty,Full HD,No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,"144Hz, Viewing Angle 85/85/85/85, Value IPS-level, Brightness 250nits, Contrast 1000:1, NTSC 45.00% SRGB 62.5% Adobe 47.34% display",10/100/1000 Mbps,Wi-Fi 6(802.11ax) Dual band) 2*2,v5.2,"1 x USB Type-C, 3 x USB 3.0",1 x HDMI 2.0b Port,,Yes,,Yes,"Backlit Chiclet Keyboard 1-Zone RGB, Yes",Yes,Yes,Built-in array microphone,Built-in Dual Speakers,,No,AMD Ryzen 7 ,"3.2 GHz, Octa Core Turbo Boost Upto 4.4 GHz",16 MB,NVIDIA,5th Gen,NVIDIA GeForce RTX 3060,GDDR6 6 GB,16 GB DDR4,,,512 GB,,4 Cell Battery,,"Laptop, Power Adaptor, User Guide, Warranty Documents",90WHrs Li-ion Battery,,,,,,,,,,,,,,,,,,,,,,,
20,HP,"₹94,699",Core i7,12650H,Gaming,Netbook,Windows 11 Home (64-bit),,,1 year Warranty,IPS,No,15.6 inches,1920 x 1080 pixels,~ 137,Yes,144Hz Refresh Rate,"Integrated 10/100/1000 GbE LAN
",Yes,v5,"1 x USB Type-C, 1 x USB 3.0",1 x HDMI 1.4 Port,"multi-format SD Media Card reader
",Yes,Yes,Yes,"Full-size, Ceramic White Keyboard With Numeric Keypad",Yes,"Precision Touchpad Support
","Dual Array Digital Microphones
",Dual speakers,HP Audio Boost,No,Intel Core i7,Deca Core Turbo Boost Upto 4.7 GHz,24 MB,NVIDIA,12th Gen,NVIDIA GeForce RTX 3050 Ti,4 GB,16 GB DDR4,3200 MHz,,512 GB,,4 Cell Battery,,,,,,,2,,,,16:09,"Smart AC power adapter
",,,,,,,,,,,,,,
21,Acer,"₹57,420",Core i5,1240P,"Everyday Use, Gaming, Business, Performance",Netbook,Windows 11 Home (64-bit),362 x 237 x 17.9 mm,1.8 kg,1 year Warranty,"Full HD, IPS",No,15.6 inches,1920 x 1080 pixels,~ 141,No,,No,802.11a/b/g/n+ax wireless LAN,v5.2,"1 x USB Type-C, 2 x USB 3.0",1 x HDMI Port,,Yes,,Yes,99- 100- 103-key ,Yes,Touchpad with Multi-touch Gesture Support,Built-in Digital Microphone,Built In Dual Stereo Speakers,,No,Intel Core i5,"3.3 GHz, 12 Core",12,NVIDIA,12th Gen,NVIDIA GeForce RTX 2050,GDDR6 4 GB,8 GB DDR4,,Upto 32 GB,512 GB,,3 Cell Battery,,"Laptop, Power Adaptor, User Guide, Warranty Documents","50 Wh, Li-ion battery pack",Yes,Yes,Kensington Lock Slot,2,,,,,90 W AC adapter,,,,,,,,,,,,,,
22,Asus,"₹54,990",Core i5,10300H,"Gaming, Performance",Netbook,Windows 11 Home (64-bit),359 x 256 x 24.9 mm,2.3 kg,1 year Onsite Warranty,"Full HD LED Backlit, IPS Display",No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,"250nits Brightness, 144 Hz Refresh Rate, 45% NTSC Color Gamut, 62.5% sRGB",10/100/1000,Yes,Yes,"1 x USB Type-C, 2 x USB 3.0, 1 x USB 2.0",1 x HDMI v2.0b Port,,Yes,Yes,Yes,"RGB Backlit Chiclet English Keyboard, Yes",Yes,Precision Touchpad with Multi-Gesture Support,Built-in Array Microphone,Built in Speakers,DTS software,No,Intel Core i5,"2.5 GHz, Quad Core Turbo Boost Upto 4.5 GHz",8 MB,NVIDIA,10th Gen,NVIDIA GeForce GTX 1650,GDDR6 4 GB,8 GB DDR4,,,512 GB,,3 Cell Battery,,"Laptop, Power Adaptor, User Guide, Warranty Documents",Military Grade Durability,,,Kensington Lock Port,,Mobile Intel HM470 Express Chipsets,,,,,,,,,,,,,,,,,,
23,Dell,"₹1,03,616",Core i7,12700H,Gaming,Netbook,Windows 11 Home (64-bit),357 x 272 x 26.9 mm,2.57 kg,1 year Warranty,,No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,Full HD WVA AG 120Hz 250 nits Narrow Border,Available,Intel Wi-Fi 6 AX201 (2x2),v5.1,"3 x USB 3.0, 1 x USB 2.0",1 x HDMI 2.1 Port,,Yes,Yes,Yes,"4 Zone RGB, Yes",Yes,Yes,Yes,Yes,Nahimic 3D Audio,No,Intel Core i7,"3.5 GHz, Octa Core Turbo Boost Upto 4.7 GHz",24 MB,NVIDIA,12th Gen,NVIDIA GeForce RTX 3050 Ti,GDDR6 4 GB,16 GB DDR5,4800 MHz,,512 GB,,3 Cell Battery,,"Laptop, battery, adapter, cables and user manuals",56 WHr,,,,,,,Upto 10 hours,,,,,,,,,,,,,,,,
24,Lenovo,"₹1,39,990",Core i7,12700H,Gaming,Netbook,Windows 11 Home (64-bit),,2.4 kg,1 year Warranty,WQXGA,No,15.6 inches,2560 x 1600 pixels,~ 184,Yes,"165 Hz Refresh Rate, 100% sRGB",,"11ax, 2x2",v5.1,"2 x USB Type-C, 3 x USB 3.0",1 x HDMI Port,,Yes,Yes,Yes,"Backlit, English, Yes",Yes,Yes,Yes,,,No,Intel Core i7,"3 GHz, 14 Core Turbo Boost Upto 4.7 GHz",24 MB,NVIDIA,12th Gen,NVIDIA GeForce RTX 3060,GDDR6 6 GB,16 GB DDR5,4800 MHz,Upto 32 GB,1 TB,,,MS Office Home and Student 2021,"Laptop, Power Adapter, User Guide, Warranty Documents",,Yes,,,,,,Upto 6.68 hours,16:10,140W,,,,,,,,,,,,,,
25,Lenovo,"₹57,490",Ryzen 5 ,5600H,"Gaming, Performance",Netbook,Windows 11 Home (64-bit),359 x 249.6 x 24.9 mm,2.25 kg,1 year Onsite Warranty,LED ,No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,"Full HD LED Backlit, IPS Display (250 nits Brightness, 60Hz Refresh Rate, 3-Sided Narrow Bezel)",100/1000 MBPS,11ac (2x2),v5,"1 x USB Type-C, 2 x USB 3.0",1 x HDMI v2.0 Port,,Yes,Yes,Yes,Yes,Yes,Trackpad with Windows Precision Driver,Built-In Dual Array Microphone,Built-In Dual Stereo Speakers,Stereo Speakers with Dolby Audio,No,AMD Ryzen 5 ,"3.3 GHz, Hexa Core Turbo Boost Upto 4.2 GHz",16 MB,NVIDIA,5th Gen,NVIDIA GeForce GTX 1650,GDDR6 4 GB,8 GB DDR4,,,512 GB,,,,"Laptop, Power Adaptor, User Guide, Warranty Documents",45 Wh Battery,,,,2 Slots,,,Upto 6.7 hours,,,,,,,,,,,,,,,,
26,HP,"₹1,02,990",Ryzen 7 ,6800H,Gaming,Netbook,Windows 11 Home (64-bit),369 x 245 x 22.5 mm,2.32 kg,1 year Onsite Warranty,Full HD,No,16.1 inches,1920 x 1080 pixels,~ 137,Yes,"144 Hz, 7 ms Response Time, IPS, Micro-Edge, Brightness: 300 nits, 137 PPI, Color Gamut: 100% sRGB",Integrated 10/100/1000 GbE LAN,Mediatek Wi-Fi 6E MT7922 (2 x 2),v5.2,"2 x USB Type-C, 2 x USB 3.0",1 x HDMI 2.1 Port,1 x Multi Format SD Media Card Reader,Yes,,Yes,"Full-Size, 4-Zone RGB Backlit, Mica Silver Keyboard and 26-Key Rollover Anti-Ghosting Key Technology, Yes",Yes,Yes,Integrated Dual Array Digital Microphones,Built-in Dual Speakers,Audio by Bang & Olufsen,No,AMD Ryzen 7 ,"3.2 GHz, Octa Core Turbo Boost Upto 4.7 GHz",16 MB,AMD,6th Gen,AMD Radeon RX 6650M,GDDR6 8 GB,16 GB DDR5,4800 MHz,,512 GB,,4 Cell Battery,Office Home and Student 2021,"Laptop, Power Adaptor, User Guide, Warranty Documents","70 Wh Li-ion Polymer, Support Battery Fast Charge",,,,,,,,,,,,,,,,,,,,,,,
